/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:4.0 CYCLES:5615 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:3.6 CYCLES:5165 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:3.8 CYCLES:5381 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:3.7 CYCLES:5183 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:3.6 CYCLES:5147 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:3.7 CYCLES:5237 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:3.6 CYCLES:5147 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:3.9 CYCLES:5597 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:3.8 CYCLES:5417 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:3.8 CYCLES:5417 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:4.0 CYCLES:5615 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:3.6 CYCLES:5165 ICOUNT:1417 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:7.0 CYCLES:70 ICOUNT:10 IHITRATE: 0 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:10.7 CYCLES:75 ICOUNT:7 IHITRATE: 0 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:5.7 CYCLES:51 ICOUNT:9 IHITRATE: 0 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:8.7 CYCLES:61 ICOUNT:7 IHITRATE: 0 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:7.2 CYCLES:72 ICOUNT:10 IHITRATE: 100.0 DHITRATE: 100.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:11.0 CYCLES:77 ICOUNT:7 IHITRATE: 100.0 DHITRATE: 100.0
